species;site;pH;Tank;chla;chlc;chltot;chltotsymbiont;symbiont
Acropora tenuis;Reference;Extreme;C;15.93776212;37.10149193;53.03925405;10.71720921;4948980.001
Acropora tenuis;Reference;Extreme;C;7.067181598;16.46294286;23.53012446;8.899251337;2644056.626
Acropora tenuis;Reference;Extreme;B;11.95017109;27.87168433;39.82185543;10.00250473;3981188.362
Acropora tenuis;Reference;Extreme;C;9.57505362;21.78303153;31.35808515;13.39932345;2340273.765
Acropora tenuis;Reference;Extreme;B;12.41276674;28.47080292;40.88356966;19.86878138;2057678.771
Acropora tenuis;Reference;Extreme;B;5.674896628;12.69804566;18.37294229;19.82087473;926949.1149
Acropora tenuis;Reference;Extreme;C;7.559262189;17.07197971;24.6312419;18.49954054;1331451.548
Acropora tenuis;Bourake;Extreme;A;7.110711945;16.56324229;23.67395424;13.65448649;1733785.761
Acropora tenuis;Bourake;Extreme;A;8.033549804;18.70047817;26.73402798;13.48435988;1982595.26
Acropora tenuis;Bourake;Extreme;A;4.182357167;9.735976873;13.91833404;10.84034202;1283938.644
Acropora tenuis;Bourake;Extreme;B;9.165937923;20.9049662;30.07090412;17.32130233;1736064.85
Acropora tenuis;Bourake;Extreme;C;5.91280606;13.62407059;19.53687665;14.13844139;1381826.759
Acropora tenuis;Bourake;Extreme;C;7.698556886;17.72811473;25.42667162;20.04419802;1268530.255
Acropora tenuis;Bourake;Extreme;C;6.699462937;15.42984948;22.12931241;15.7774212;1402593.753
Acropora tenuis;Bourake;Extreme;B;6.394555318;14.78015519;21.1747105;13.98149823;1514480.791
Acropora tenuis;Bourake;Extreme;B;11.67586463;27.01559232;38.69145695;18.3890049;2104053.871
Acropora tenuis;Bourake;Extreme;C;6.831711655;15.79625721;22.62796886;11.26679527;2008376.679
Montipora digitata;Reference;Extreme;C;9.944559929;23.15568118;33.10024111;16.26324649;2035278.819
Montipora digitata;Reference;Extreme;C;4.686614791;11.08445626;15.77107105;13.50025152;1168205.721
Montipora digitata;Reference;Extreme;B;17.89014169;42.07668863;59.96683032;21.96000941;2730728.808
Montipora digitata;Reference;Extreme;A;11.84386627;28.00243343;39.8462997;17.80111569;2238415.861
Montipora digitata;Reference;Extreme;A;7.811920644;17.53177708;25.34369772;17.88686567;1416888.693
Montipora digitata;Reference;Extreme;A;16.35947877;37.86205414;54.2215329;21.49016976;2523085.37
Montipora digitata;Reference;Extreme;B;16.76258726;39.49418577;56.25677303;20.98496759;2680812.958
Montipora digitata;Bourake;Extreme;C;9.646143893;22.44191514;32.08805903;21.1627541;1516251.565
Montipora digitata;Bourake;Extreme;A;7.062532783;16.4178689;23.48040168;17.6189911;1332675.722
Montipora digitata;Bourake;Extreme;C;7.11074627;16.52280944;23.63355571;12.08774098;1955167.285
Montipora digitata;Bourake;Extreme;B;30.3520445;70.73818028;30;18.27573896;5531389.182
Montipora digitata;Bourake;Extreme;C;14.58492206;33.99189223;48.57681428;12.79376371;3796913.51
Montipora digitata;Bourake;Extreme;C;9.695652454;22.59622747;32.29187993;15.59632117;2070480.569
Montipora digitata;Bourake;Extreme;A;12.63237237;29.42635106;42.05872343;14.83577731;2834952.464
Porites sp.;Reference;Extreme;A;2.7795707;6.455104297;9.234674998;16.18728256;570489.5164
Porites sp.;Reference;Extreme;C;6.275621919;14.59680357;20.87242549;13.23394024;1577189.04
Porites sp.;Reference;Extreme;B;5.765505205;13.56988804;19.33539324;13.26165926;1457992.01
Porites sp.;Reference;Extreme;B;4.142480099;9.615736811;13.75821691;12.65773248;1086941.672
Porites sp.;Reference;Extreme;C;3.50406769;8.05480271;11.5588704;7.659771429;1509035.943
Porites sp.;Reference;Extreme;A;4.585788499;10.55203427;15.13782277;14.57775484;1038419.354
Porites sp.;Reference;Extreme;B;5.029608496;11.79377734;16.82338584;10.9801194;1532167.841
Porites sp.;Reference;Extreme;A;0.80973984;1.83916932;2.64890916;10.6947651;247682.7807
Porites sp.;Bourake;Extreme;B;1.150387719;2.50361177;3.653999489;17.92762283;203819.5205
Porites sp.;Bourake;Extreme;B;2.187203791;5.142941138;7.330144929;79.07590476;92697.579
Porites sp.;Bourake;Extreme;A;2.888209816;6.455030576;9.343240392;33.49527273;278942.0605
Porites sp.;Bourake;Extreme;A;1.032218321;2.216047679;3.248266;39.50652055;82221.00947
Porites sp.;Bourake;Extreme;A;2.468725582;5.399236072;7.867961655;24.14866441;325813.5325
Porites sp.;Bourake;Extreme;C;1.503463536;3.426597606;4.930061142;5.394265487;913944.8465
Porites sp.;Bourake;Extreme;C;1.711046582;3.988248814;5.699295396;7.070532438;806063.1142
Porites sp.;Bourake;Extreme;A;3.862153869;8.92229789;12.78445176;10.16163842;1258109.296
Porites sp.;Bourake;Extreme;C;4.467739669;10.34985114;14.81759081;14.68397452;1009099.463
Porites sp.;Bourake;Extreme;B;1.768296914;3.978525384;5.746822298;5.793671233;991913.774
Porites sp.;Bourake;Extreme;A;3.326716366;7.436492449;10.76320882;11.0745974;971882.6269
Porites sp.;Bourake;Extreme;B;2.293673875;5.333859519;7.627533394;14.31945455;532669.2696
Acropora tenuis;Reference;Future;A;10.35412346;24.16091583;34.51503929;11.20673913;3079846.768
Acropora tenuis;Reference;Future;C;8.815856649;20.50399787;29.31985452;8.431649081;3477357.067
Acropora tenuis;Reference;Future;B;7.663816012;17.83865791;25.50247393;14.87441951;1714518.937
Acropora tenuis;Reference;Future;C;11.7261187;27.26827055;38.99438925;13.60588131;2865995.106
Acropora tenuis;Reference;Future;C;11.97526058;27.88186915;39.85712973;18.97669908;2100319.426
Acropora tenuis;Reference;Future;A;9.04324493;21.05342902;30.09667395;12.36664615;2433697.348
Acropora tenuis;Reference;Future;A;10.49141103;24.40689967;34.8983107;13.06433269;2671266.228
Acropora tenuis;Bourake;Future;C;10.47570265;24.44721295;34.92291559;14.526;2404166.019
Acropora tenuis;Bourake;Future;C;11.13188458;25.61817231;36.75005688;11.36021122;3234980.069
Acropora tenuis;Bourake;Future;A;14.33736048;32.43278045;46.77014093;17.08650704;2737255.825
Acropora tenuis;Bourake;Future;B;11.74307034;26.91154371;38.65461405;15.73366486;2456809.293
Acropora tenuis;Bourake;Future;B;7.890659342;17.95456532;25.84522466;14.06464699;1837602.086
Acropora tenuis;Bourake;Future;A;7.082446465;16.53322022;23.61566669;16.46797257;1434036.072
Acropora tenuis;Bourake;Future;A;4.343991131;10.11540421;14.45939534;12.46264311;1160219.001
